dir	ADJ_gDP	prod_total_z	mom_z	prow_prod_z	closure_prod	closure_rel	true_flow_z	true_prow_z	prow_lesion	total_lesion	ADJ_J	prod_total_J	momJ_z	prowJ_prod_z	flowJ_prod	directJ_prod	C_pinned	Gx_pinned	true_flow_J	true_prow_J	FD_J	J_prod_minus_truth
D1	-5.23029384626718	-16.116120065661576	-4.253786065524424	-0.07782849014884048	-4.331614555673265	0.7312247279106225	-4.277461237487605	-0.023675171963181363	-0.05415331818565912	-11.83865882817397	-0.0358350400485765	-0.22993013834723758	0.09131069200305453	0.0034612142306755947	0.09477190623373012	-0.3247020445809677	-0.030341656277042862	-0.0015704339056528767	-0.04884018700713266	-0.1401508790101872	0.04252469623637622	-0.14917786115740916
D2	1.0505249811003	-3.5247766836968077	0.5468424617309424	0.009376466497530992	0.5562189282284734	1.157802600885656	0.3844628061126605	-0.16237965561828194	0.17175612211581293	-3.909239489809468	-0.02492599038981423	-0.22726327622679082	-0.0375397497977879	-0.001922860388596371	-0.03946261018638427	-0.18780066604040654	-0.008210889966675959	0.004043159681714134	-0.006440998953954891	0.031098750843833012	-0.003528972517971574	-0.21665454698787412
D3	13.60342258150915	80.40999347290716	12.874940173963605	-0.2090613912783543	12.665878782685251	0.8424837730281272	14.096353328798937	1.2214131548353322	-1.4304745461136865	66.31364014410822	-0.01200301226991504	-0.21718890583689462	-0.04354033746741447	-0.009702008238938634	-0.0532423457063531	-0.16394656013054154	-0.019791957452	0.0084067076831	0.011566617518607991	0.05510695498602246	-0.0004449511895182612	-0.2173702735866026
