Dir	Step	Valid	NIterPlus	NIterMinus	FD_J	ADJ_J	relJ	signJ	FD_gDP	ADJ_gDP	relDP	signDP	FD_gV	ADJ_gV	relV	signV
D1	1e-05	1	373	373	0.04366792121235363	-0.03475444716223444	2.256470028382581	0	-2.536260986440997	-5.405058733899693	0.5307616232671146	1	0.1554678941695364	0.1555186511144686	0.0003263720754291641	1
D1	3e-05	1	372	374	0.04252576980186736	-0.03475444716223444	2.223606567624461	0	-2.536292082118881	-5.405058733899693	0.5307558701977373	1	0.1554775631462668	0.1555186511144686	0.0002641996179065954	1
D1	0.0001	1	371	376	0.0428019029008464	-0.03475444716223444	2.231551827052414	0	-2.537085572823505	-5.405058733899693	0.5306090650021439	1	0.1555125114105493	0.1555186511144686	3.947889127943392e-05	1
D1	0.0003	1	365	380	0.04280662755669814	-0.03475444716223444	2.231687770974344	0	-2.53710234158544	-5.405058733899693	0.5306059625822146	1	0.1555130059325653	0.1555186511144686	3.629906678633163e-05	1
D1	0.001	1	345	396	0.04285591442632075	-0.03475444716223444	2.233105916669269	0	-2.537459771851047	-5.405058733899693	0.5305398337419552	1	0.1555184048448455	0.1555186511144686	1.583537545971946e-06	1
D1	0.003	1	272	429	0.04360364196805596	-0.03475444716223444	2.254620502651454	0	-2.535369323947564	-5.405058733899693	0.5309265914085043	1	0.1555183550339493	0.1555186511144686	1.903826436087638e-06	1
D1	0.01	1	492	490	0.04156370938858123	-0.03475444716223444	2.195924918458954	0	-2.518057142332175	-5.405058733899693	0.5341295504266569	1	0.1555186298790201	0.1555186511144686	1.365459921273794e-07	1
D2	0.0001	1	373	373	-0.003603941632901453	-0.02381413357755518	0.8486637516681199	1	0.5363662735369257	1.105926980539024	0.5150075158890663	1	-0.08449380577424392	-0.08449667741658891	3.398526939498916e-05	1
D2	0.0003	1	373	374	-0.003562913118981826	-0.02381413357755518	0.850386615688598	1	0.526625013745156	1.105926980539024	0.5238157464171087	1	-0.08449408241998728	-0.08449667741658891	3.071122653539678e-05	1
D2	0.001	1	373	375	-0.00346892642155705	-0.02381413357755518	0.8543332928632552	1	0.5234094521578969	1.105926980539024	0.5267233177521455	1	-0.08449637308177715	-0.08449667741658891	3.601737027526519e-06	1
D3	0.0001	1	372	375	-0.0002881600347226509	-0.01364141415160426	0.9788760878073068	1	6.480676419599041	14.04471420884093	0.5385682952865245	1	0.0639661418211368	0.06396237684432686	5.886236559196511e-05	1
D3	0.0003	1	369	377	-0.0002242587045693985	-0.01364141415160426	0.98356045039927	1	6.480094321902331	14.04471420884093	0.5386097413201036	1	0.06396715596139006	0.06396237684432686	7.471762775223791e-05	1
D3	0.001	1	357	386	-0.0002826581603221356	-0.01364141415160426	0.9792794092180762	1	6.477215547073478	14.04471420884093	0.5388147134388699	1	0.06396281348897137	0.06396237684432686	6.82658565946652e-06	1
