Dir	Step	Valid	NIterPlus	NIterMinus	FD_J	ADJ_J	relJ	signJ	FD_gDP	ADJ_gDP	relDP	signDP	FD_gV	ADJ_gV	relV	signV
D1	1e-05	1	441	442	0.04244654087520727	-0.0358350400485765	2.184498212299149	0	-2.536260986929495	-5.23029384626718	0.5150825055958176	1	0.1554678941695364	0.1555186511144686	0.0003263720754291641	1
D1	3e-05	1	440	442	0.04249094651363287	-0.0358350400485765	2.18573738039734	0	-2.53629208191534	-5.23029384626718	0.5150765604258598	1	0.1554775631462668	0.1555186511144686	0.0002641996179065954	1
D1	0.0001	1	437	445	0.04246430490337239	-0.0358350400485765	2.184993929009414	0	-2.537085572671405	-5.23029384626718	0.5149248498758625	1	0.1555125114105493	0.1555186511144686	3.947889127943392e-05	1
D1	0.0003	1	429	453	0.0424653386779661	-0.0358350400485765	2.185022777158944	0	-2.537102341795272	-5.23029384626718	0.514921643722564	1	0.1555130059325653	0.1555186511144686	3.629906678633163e-05	1
D1	0.001	1	396	476	0.04252469623637622	-0.0358350400485765	2.186679188267447	0	-2.53745977415909	-5.23029384626718	0.5148533048539797	1	0.1555184048448455	0.1555186511144686	1.583537545971946e-06	1
D1	0.003	1	288	525	0.04329020695195696	-0.0358350400485765	2.208041260544834	0	-2.535369377474265	-5.23029384626718	0.5152529758373445	1	0.1555183550339493	0.1555186511144686	1.903826436087638e-06	1
D1	0.01	1	641	609	0.04131485763715914	-0.0358350400485765	2.152917858642112	0	-2.518057142333641	-5.23029384626718	0.5185629686693878	1	0.1555186298790201	0.1555186511144686	1.365459921273794e-07	1
D2	0.0001	1	441	442	-0.003699503574594587	-0.02492599038981423	0.8515804781780565	1	0.5363662735724528	1.0505249811003	0.4894302532333189	1	-0.08449380577424392	-0.08449667741658891	3.398526939498916e-05	1
D2	0.0003	1	440	442	-0.003598906679752601	-0.02492599038981423	0.8556163015603481	1	0.5266250137507071	1.0505249811003	0.4987030073296021	1	-0.08449408241998728	-0.08449667741658891	3.071122653539678e-05	1
D2	0.001	1	439	446	-0.003528972517971574	-0.02492599038981423	0.8584219739002364	1	0.5234094521754384	1.0505249811003	0.5017639165255936	1	-0.08449637308177715	-0.08449667741658891	3.601737027526519e-06	1
D3	0.0001	1	439	443	-0.0004211702528400529	-0.01200301226991504	0.9649112869862096	1	6.480676419641229	13.60342258150915	0.5235995661525448	1	0.0639661418211368	0.06396237684432686	5.886236559196511e-05	1
D3	0.0003	1	435	447	-0.0004148284318365262	-0.01200301226991504	0.9654396394414865	1	6.480094321954141	13.60342258150915	0.5236423566843833	1	0.06396715596139006	0.06396237684432686	7.471762775223791e-05	1
D3	0.001	1	417	460	-0.0004449511895182612	-0.01200301226991504	0.9629300396006835	1	6.477215547197601	13.60342258150915	0.5238539780421182	1	0.06396281348897137	0.06396237684432686	6.82658565946652e-06	1
